titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,genero
Esqueça o Amanhã,Pintip Dunn,9788501077462,8501077461,2017,384,português,Galera,3.5,Distopia / Ficção / Ficção científica / Jovem adulto / Literatura Estrangeira
Piano Mecânico,Kurt Vonnegut,9786555600223,6555600225,2020,496,português,Intrínseca,3.9,Distopia / Ficção / Ficção científica / Literatura Estrangeira
Oryx e Crake,Margaret Atwood,9788532531131,853253113X,2018,352,português,Rocco,4.2,Distopia / Ficção / Ficção científica / Literatura Estrangeira / Romance
O Doador,Lois Lowry,9788599296448,8599296442,2009,192,português,Sextante,3.9,Distopia / Ficção / Infantojuvenil / Literatura Estrangeira
O Doador de Memórias,Lois Lowry,9788580412994,8580412994,2014,192,português,Arqueiro,3.9,Distopia / Ficção / Infantojuvenil / Literatura Estrangeira
Meninas selvagens,Rory Power,9788501119452,8501119458,2020,320,português,Galera,3.2,Distopia / Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance / Suspense e Mistério
A Escolhida,Lois Lowry,9788580413472,8580413478,2014,192,português,Arqueiro,3.6,Distopia / Ficção / Literatura Estrangeira
As Horas Vermelhas,Leni Zumas,9788542214550,8542214552,2018,336,português,,3.8,Distopia / Ficção / Literatura Estrangeira
Mais Forte que o Mar,Kassandra Montag,9788595085428,8595085420,2019,384,português,HarperCollins,3.8,Distopia / Ficção / Literatura Estrangeira
Sociedade da Rosa,Marie Lu,9788579803079,8579803071,2016,336,português,Rocco,4.1,Distopia / Ficção / Literatura Estrangeira
Vox,Christina Dalcher,9788580418897,8580418895,2018,320,português,Arqueiro,3.8,Distopia / Ficção / Literatura Estrangeira
Vox,Christina Dalcher,9788580419917,8580419913,2019,320,português,Arqueiro,3.8,Distopia / Ficção / Literatura Estrangeira
Crave a Marca,Veronica Roth,9788579803284,8579803284,2017,480,português,Rocco,4.1,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira
Destinos Divididos,Veronica Roth,9788579804557,8579804558,2019,448,português,Rocco,4.2,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira
Perfeitos,Scott Westerfeld,9788501111104,8501111104,2017,384,português,Galera,3.9,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira
Rebel,Marie Lu,9788579804717,857980471X,2019,320,português,Rocco,4.1,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira
Cress,Marissa Meyer,9788579802447,857980244X,2015,496,português,Rocco,4.5,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira / Romance
Scarlet,Marissa Meyer,9788579801914,8579801915,2014,480,português,Rocco,4.4,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira / Romance
Cinder,Marissa Meyer,9788579801525,8579801524,2013,448,português,Rocco,4.3,Distopia / Ficção científica / Jovem adulto / Literatura Estrangeira / Romance / Fantasia
Cidade de Selvagens,Lee Kelly,9788501112446,8501112445,2017,364,português,Galera,3.7,Distopia / Ficção científica / Literatura Estrangeira
Maddaddão,Margaret Atwood,9788532531377,8532531377,2019,448,português,Rocco,4.2,Distopia / Ficção científica / Literatura Estrangeira
Nova York 2140,Kim Stanley Robinson,9788542217889,8542217888,2019,496,português,,3.5,Distopia / Ficção científica / Literatura Estrangeira
O Que Restou,Alexandra Oliva,9788532531049,8532531040,2018,320,português,Rocco,3.4,Distopia / Ficção científica / Literatura Estrangeira
Os Testamentos,Margaret Atwood,9788532531568,8532531563,2019,448,português,Rocco,4.6,Distopia / Ficção científica / Literatura Estrangeira
Underground Airlines,Ben H. Winters,9788532530899,8532530893,2017,320,português,Rocco,4,Distopia / Ficção científica / Literatura Estrangeira
Champion,Marie Lu,9788579802089,8579802083,2014,302,português,Rocco,4.4,Distopia / Jovem adulto / Literatura Estrangeira
Aqui na terra,Alice Hoffman,9788532514295,8532514294,2003,287,português,Rocco,3.8,Drama
La niña del arrozal,José Luis Olaizola,9788427037793,8427037791,2011,164,espanhol,,0,Drama
O Baile da Vitória,Antonio Skármeta,9788589885447,8589885445,2004,341,português,Planeta,3.1,Drama
O Guardião de Memórias,Kim Edwards,9788599296141,8599296140,2009,369,português,Arqueiro,3.6,Drama
O Guardião de Memórias,Kim Edwards,9788599296301,8599296302,2008,319,português,Sextante,3.6,Drama
Vestígios do Dia,Kazuo Ishiguro,9788535900675,8535900675,1989,233,português,Rocco,3.8,Drama
Sorrisos Quebrados,Sofia Silva,9788558890458,8558890455,2017,232,português,Valentina,4.3,Drama / Erótico / Ficção / Literatura Estrangeira / Romance
O Livro dos Dias Mortos,Marcus Sedgwick,9788532520296,8532520294,2006,288,português,Rocco,3.5,Drama / Fantasia
Your Name.,Makoto Shinkai,9788576867227,8576867222,2018,192,português,Verus,4.5,"Drama / Fantasia / Ficção / HQ, comics, mangá / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance "
Black Hammer,Jeff Lemire,9788551004579,8551004573,2019,136,português,Intrínseca,4.4,"Drama / Fantasia / Ficção científica / HQ, comics, mangá / Literatura Estrangeira "
Corações em Fase Terminal,Fabiane Ribeiro,9788579307614,8579307619,2014,159,português,Universo,4.2,Drama / Fantasia / Literatura Brasileira / Religião e Espiritualidade / Romance
As Madonas de Leningrado,Debra Dean,9788595083615,8595083614,2018,256,português,HarperCollins,3.8,Drama / Ficção
Gravity Falls : Era uma vez um Suíno,Tracey West,9788550305165,8550305162,2020,112,português,Universo,3,Drama / Ficção
Aniquilação,Jeff VanderMeer,9788551002940,8551002945,2018,200,português,Intrínseca,3.6,Drama / Ficção / Ficção científica / Literatura Estrangeira / Terror
Franziska,Fulvio Tomizza,9788532510341,8532510345,1999,191,português,Rocco,3.3,Drama / Ficção / História / Literatura Estrangeira / Romance
Sob o Céu Escarlate,Mark Sullivan,9788542215816,8542215818,2019,416,português,Planeta,4.7,Drama / Ficção / História Geral / Literatura Estrangeira
As Agentes Secretas de Paris,Pam Jenoff,9788595086050,8595086052,2020,384,português,HarperCollins,4.1,Drama / Ficção / História Geral / Literatura Estrangeira / Romance
O Corvo,James O'Barr,9788588210516,8588210517,2003,238,português,Planeta,4.5,"Drama / Ficção / Horror / HQ, comics, mangá / Literatura Estrangeira "
Monstros Invisíveis,Chuck Palahniuk,9788532524119,8532524117,2009,256,português,Rocco,4.2,"Drama / Ficção / Humor, Comédia "
Adultos,Emma Jane Unsworth,9786555600032,6555600039,2020,400,português,Intrínseca,3.2,"Drama / Ficção / Humor, Comédia / Literatura Estrangeira / Romance "
Quando Tudo Faz Sentido,Amy Zhang,9788579803420,857980342X,2017,320,português,Rocco,3.8,Drama / Ficção / Jovem adulto / Literatura Estrangeira
Reality Boy,A.S. King,9786586553246,6586553245,2020,288,português,Gutenberg,3.8,Drama / Ficção / Jovem adulto / Literatura Estrangeira
A lista do ódio,Jennifer Brown,9788582355725,8582355726,2019,336,português,Gutenberg,4.2,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance
A Lista Negra,Jennifer Brown,9788565383110,8565383113,2012,272,português,Gutenberg,4.2,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance
As Três Partes de Grace,Robin Benway,9788501114464,8501114464,2019,322,português,Galera,4.5,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance
Tudo e Todas As Coisas,Nicola Yoon,9788580416992,858041699X,2017,280,português,Arqueiro,4.2,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance
Coisas Inatingíveis,Danilo Leonardi,9788542210736,8542210735,2017,224,português,,2.9,Drama / Ficção / Jovem adulto / Romance
Me Chame Pelo Seu Nome,André Aciman,9788551002742,8551002740,2018,288,português,Intrínseca,4.3,Drama / Ficção / LGBT / GLS / Literatura Estrangeira / Romance
Jane Eyre,Charlotte Brontë,9788544002353,8544002358,2019,690,português,Martin,4.6,Drama / Ficção / Línguas Estrangeiras / Literatura Estrangeira / Romance
A Pena e a Lei,Ariano Suassuna,9788520942864,8520942865,2019,184,português,Nova,4.1,Drama / Ficção / Literatura Brasileira
Uma aprendizagem ou o livro dos prazeres,Clarice Lispector,9786555320176,6555320176,2020,160,português,Rocco,4.4,Drama / Ficção / Literatura Brasileira / Romance
A Metamorfose/ Um Artista Da Fome / Carta Ao Pai,Franz Kafka,9788572328524,8572328521,2012,112,português,Martin,4.1,Drama / Ficção / Literatura Estrangeira
Biblioteca sobre rodas,David Whitehouse,9788532531339,8532531334,2019,288,português,Rocco,4.1,Drama / Ficção / Literatura Estrangeira
Coelho Corre,John Updike,9788574797144,8574797146,2003,269,português,Planeta,3.7,Drama / Ficção / Literatura Estrangeira
O cuidadoso despir do amor,Corey Ann Haydu,9788501114471,8501114472,2020,266,português,Galera,3.5,Drama / Ficção / Literatura Estrangeira
O Rouxinol,Kristin Hannah,9788580414677,8580414679,2015,432,português,Arqueiro,4.7,Drama / Ficção / Literatura Estrangeira
Ruby,Cynthia Bond,9788551001219,8551001213,2017,352,português,Intrínseca,3.8,Drama / Ficção / Literatura Estrangeira
Trilha de Sonhos,Rani Manicka,9788532524942,853252494X,2010,495,português,Rocco,3.5,Drama / Ficção / Literatura Estrangeira
Um Lugar Bem Longe Daqui,Delia Owens,9788551004869,8551004867,2019,336,português,Intrínseca,4.5,Drama / Ficção / Literatura Estrangeira
As filhas do Capitão,María Dueñas,9788542213911,8542213912,2018,528,português,,3.8,Drama / Ficção / Literatura Estrangeira 
A Garota do Penhasco,Lucinda Riley,9788580419955,8580419956,2019,416,português,,4.4,Drama / Ficção / Literatura Estrangeira / Romance
A Garota do Penhasco,Lucinda Riley,9788580419962,8580419964,2019,416,português,Arqueiro,4.4,Drama / Ficção / Literatura Estrangeira / Romance
A Garota Italiana,Lucinda Riley,9788580415650,8580415659,2016,464,português,Arqueiro,4.1,Drama / Ficção / Literatura Estrangeira / Romance
A Inquilina de Wildfell Hall,Anne Brontë,9788544002339,8544002331,2019,643,português,Martin,4.4,Drama / Ficção / Literatura Estrangeira / Romance
A Irmã da Tempestade,Lucinda Riley,9788580414776,8580414776,2015,528,português,Arqueiro,4.5,Drama / Ficção / Literatura Estrangeira / Romance
A Irmã da Tempestade,Lucinda Riley,9788580416053,8580416051,2016,528,português,Arqueiro,4.5,Drama / Ficção / Literatura Estrangeira / Romance
A Irmã do Sol,Lucinda Riley,9788530601645,8530601645,2020,688,português,Arqueiro,4.5,Drama / Ficção / Literatura Estrangeira / Romance
A Menina que Roubava Livros,Markus Zusak,9788598078373,8598078379,2007,480,português,Intrínseca,4.5,Drama / Ficção / Literatura Estrangeira / Romance
À Primeira Vista,Nicholas Sparks,9788580410556,858041055X,2012,256,português,Arqueiro,3.9,Drama / Ficção / Literatura Estrangeira / Romance
À Primeira Vista,Nicholas Sparks,9788580416503,8580416507,2016,256,português,Arqueiro,3.9,Drama / Ficção / Literatura Estrangeira / Romance
A Relíquia,Eça de Queiróz,9788572323444,8572323449,2013,277,português,Martin,3.6,Drama / Ficção / Literatura Estrangeira / Romance
A Última Música,Nicholas Sparks,9788530600624,8530600622,2019,400,português,Arqueiro,4.2,Drama / Ficção / Literatura Estrangeira / Romance
Ainda Sou Eu,Jojo Moyes,9788551003718,8551003712,2019,320,português,Intrínseca,4.3,Drama / Ficção / Literatura Estrangeira / Romance
As Sete Irmãs,Lucinda Riley,9788580415919,8580415918,2016,480,português,Arqueiro,4.4,Drama / Ficção / Literatura Estrangeira / Romance
Dois a Dois,Nicholas Sparks,9788580416923,8580416922,2016,416,português,Arqueiro,4.3,Drama / Ficção / Literatura Estrangeira / Romance
Escrito Com o Sangue do Meu Coração,Diana Gabaldon,9786555650518,6555650516,2020,896,português,Arqueiro,4.7,Drama / Ficção / Literatura Estrangeira / Romance
O Casamento,Nicholas Sparks,9788580410563,8580410568,2016,223,português,Arqueiro,4.2,Drama / Ficção / Literatura Estrangeira / Romance
O Casamento,Nicholas Sparks,9788580412598,8580412595,2012,223,português,Arqueiro,4.2,Drama / Ficção / Literatura Estrangeira / Romance
O Casamento,Nicholas Sparks,9788580416497,8580416493,2016,224,português,Arqueiro,4.2,Drama / Ficção / Literatura Estrangeira / Romance
O Colecionador de Desejos,Mia Sheridan,9788550304878,8550304875,2020,448,português,Universo,4.1,Drama / Ficção / Literatura Estrangeira / Romance
O Farol de Fisher,Tara Sivec,9788576868071,8576868075,2020,294,português,Verus,3.8,Drama / Ficção / Literatura Estrangeira / Romance
O Farol e a Libélula,Jean E. Pendziwol,9788595081321,8595081328,2017,304,português,HarperCollins,4.2,Drama / Ficção / Literatura Estrangeira / Romance
O Livro dos Baltimore,Joël Dicker,9788580579765,8580579767,2017,416,português,Intrínseca,4.3,Drama / Ficção / Literatura Estrangeira / Romance
Tempo de Regresso,Kristin Hannah,9788530600044,8530600045,2019,336,português,Arqueiro,4.5,Drama / Ficção / Literatura Estrangeira / Romance
À Espera de um Milagre,Stephen King,9788574796406,8574796409,2004,232,português,Planeta,4.6,Drama / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério
Minha Sombria Vanessa,Kate Elizabeth Russell,9788551006276,8551006274,2020,432,português,Intrínseca,4.3,Drama / Ficção / Literatura Estrangeira / Suspense e Mistério
Dexter Está Morto,Jeff Lindsay,9788542205992,8542205995,2015,320,português,Planeta,3.7,Drama / Ficção / Literatura Estrangeira / Suspense e Mistério / Terror
Dançando Sobre Cacos de Vidro,Ka Hancock,9788580412079,8580412072,2013,336,português,Arqueiro,4.6,Drama / Ficção / Romance
Querido e Devotado Dexter,Jeff Lindsay,9788576654704,8576654709,2009,252,português,Planeta,4.2,Drama / Ficção / Romance policial / Suspense e Mistério
Caim e Abel,Jeffrey Archer,9788599296318,8599296310,2008,416,português,Sextante,4.4,Drama / Ficção / Suspense e Mistério
Dexter no Escuro,Jeff Lindsay,9788576655053,8576655055,2010,288,português,Planeta,3.8,Drama / Ficção / Suspense e Mistério
Dexter: A Mão Esquerda de Deus,Jeff Lindsay,9788576653455,8576653451,2008,272,português,Planeta,4.1,Drama / Ficção / Suspense e Mistério
Duplo Dexter,Jeff Lindsay,9788576658764,8576658763,2012,400,português,Planeta,4.1,Drama / Ficção / Suspense e Mistério
Valiant,Laurann Dohner,9788579309571,8579309573,2016,336,português,Universo,4.4,Drama / Ficção científica / Romance / Suspense e Mistério
O Menino da Lista de Schindler,Leon Leyson,9788579802126,8579802121,2014,256,português,Rocco,4.6,Drama / História / Literatura Estrangeira
A Bibliotecária de Auschwitz,Antonio G. Iturbe,9788522015849,8522015848,2014,368,português,,4.5,Drama / História / Literatura Estrangeira / Política / Psicologia / Romance / Sociologia
A Árvore no Quintal,Jeff Gottesfeld,9788501109897,8501109894,2017,40,português,Galera,4.1,Drama / História Geral / Literatura Estrangeira
O Mercador de Veneza,William Shakespeare,9788572328715,8572328718,2009,136,português,Martin,4,"Drama / Humor, Comédia / Literatura Estrangeira / Romance "
O Retorno,Nicholas Sparks,9786555650457,6555650451,2020,286,português,Arqueiro,4.8,Drama / Infantojuvenil / Literatura Estrangeira / Romance
Daqui Pra Baixo,Jason Reynolds,9788551004982,8551004980,2019,320,português,Intrínseca,4.3,"Drama / Jovem adulto / Literatura Estrangeira / Poemas, poesias "
Sem Esperança,Colleen Hoover,9788501065124,8501065129,2015,320,português,Galera,4.4,Drama / Jovem adulto / Literatura Estrangeira / Romance
Um Caso Perdido,Colleen Hoover,9788501403940,8501403946,2014,384,português,Galera,4.5,Drama / Jovem adulto / Literatura Estrangeira / Romance
"Sal, um prólogo",Leticia Wierzchowski,9788580573879,8580573874,2013,40,português,Intrínseca,3.9,Drama / LGBT / GLS / Literatura Brasileira / Romance
Maurice,E. M. Forster,9788532500298,8532500293,1990,230,português,Rocco,4.4,Drama / LGBT / GLS / Literatura Estrangeira
Enquanto eu respirar,Ana Michelle Soares,9788543108896,8543108896,2019,240,português,Sextante,4.7,Drama / Literatura Brasileira / Não-ficção
A escrava Isaura,Bernardo Guimarães,9788572329354,8572329358,2012,200,português,Martin,3.5,Drama / Literatura Brasileira / Não-ficção / Romance
Outros escritos,Clarice Lispector,9786555320183,6555320184,2020,192,português,Rocco,4.2,Drama / Literatura Brasileira / Não-ficção / Romance
Outros Escritos,Clarice Lispector,9788532518965,8532518966,2005,176,português,Rocco,4.2,Drama / Literatura Brasileira / Não-ficção / Romance
Ghosts,M.S. Fayes,9786556360140,6556360147,2020,210,português,,4.7,Drama / Literatura Brasileira / Romance
Shadows,M.S. Fayes,9786556360164,6556360163,2020,235,português,,4.8,Drama / Literatura Brasileira / Romance
Precisamos Falar Sobre o Kevin,Lionel Shriver,9788580571509,8580571502,2012,464,português,Intrínseca,4.6,Drama / Literatura Brasileira / Romance / Crime / Ficção / Literatura Estrangeira
Passarinha,Kathryn Erskine,9788565859134,8565859134,2013,224,português,Valentina,4.6,Drama / Literatura Estrangeira
Negocie como se sua vida dependesse disso,Chris Voss,9788543108056,8543108055,2019,256,português,,4.4,Drama / Literatura Estrangeira / Não-ficção
Rotina de Ferro (e-book),David Grinberg,9786555350746,6555350741,2020,208,português,,4.3,Drama / Literatura Estrangeira / Não-ficção
A outra metade de Sarah,Lisa Genova,9788595085763,8595085765,2019,400,português,HarperCollins,4.3,Drama / Literatura Estrangeira / Romance
As Cores Da Vida,Kristin Hannah,9788580415957,8580415950,2016,352,português,Arqueiro,4.2,Drama / Literatura Estrangeira / Romance
Ash,Jane Harvey-Berrick,9786556360171,6556360171,2021,328,português,,5,Drama / Literatura Estrangeira / Romance
"Com Amor, Anthony",Lisa Genova,9788595085770,8595085773,2019,320,português,HarperCollins,4.3,Drama / Literatura Estrangeira / Romance
Forrest Gump,Winston Groom,9788532505262,8532505260,1995,195,português,Rocco,4.2,Drama / Literatura Estrangeira / Romance
Pequena Abelha,Chris Cleave,9788598078939,859807893X,2010,272,português,Intrínseca,4,Drama / Literatura Estrangeira / Romance
Persuasão,Jane Austen,9788544001868,8544001866,2018,288,português,Martin,4.3,Drama / Literatura Estrangeira / Romance
Persuasão,Jane Austen,9788572328791,8572328793,2012,310,português,Martin,4.3,Drama / Literatura Estrangeira / Romance
Prometo Perder,Pedro Chagas Freitas,9788576865810,8576865815,2017,308,português,Verus,4.1,Drama / Literatura Estrangeira / Romance
Quarto,Emma Donoghue,9788576861317,8576861313,2011,350,português,Verus,4.4,Drama / Literatura Estrangeira / Romance
Redenção Sombria,Tillie Cole,9786556360225,6556360228,2020,420,português,,4.6,Drama / Literatura Estrangeira / Romance
Um Casamento Americano,Tayari Jones,9788580419467,8580419468,2019,228,português,Arqueiro,3.7,Drama / Literatura Estrangeira / Romance
A Profecia do Paraíso,Robert Browne,9788576657187,857665718X,2011,432,português,Planeta,3.7,Drama / Literatura Estrangeira / Suspense e Mistério
Este livro não vai te deixar rico,startupdareal,9788542217667,8542217667,2019,240,português,,5,Drama / Negócios e Empreendedorismo
A Culpa é das Estrelas,John Green,9788580573800,8580573807,2013,222,português,Intrínseca,4.2,Drama / Romance
A Luz Entre Oceanos,M. L. Stedman,9788532528230,8532528236,2013,368,português,Rocco,4.3,Drama / Romance
O Lado Bom da Vida,Matthew Quick,9788580573763,8580573769,2013,160,português,Intrínseca,3.9,Drama / Romance
Um Lugar Bem Longe Daqui,Delia Owens,8551004867,8551004867,2019,336,português,Intrínseca,4.3,Drama / Suspense e Mistério
A Ascensão do Dinheiro,Niall Ferguson,9788542210460,8542210468,2017,416,português,,4.2,"Economia, Finanças "
"Às urnas, cidadãos!",Thomas Piketty,9788551000144,8551000144,2017,192,português,Intrínseca,3.6,"Economia, Finanças / Ensaios / Literatura Estrangeira "
A Caçada Ao Lobo de Wall Street,Jordan Belfort,9788542201499,8542201493,2014,464,português,Planeta,4.3,"Economia, Finanças / Ficção / Literatura Estrangeira "
50 ideias de Capitalismo que você precisa conhecer,Jonathan Portes,9788542210750,8542210751,2017,216,português,,3.9,"Economia, Finanças / Filosofia / Literatura Estrangeira / Política "
As causas da miséria e sua superação,Ulisses Riedel,9788560335046,8560335048,2011,258,português,Planeta,0,"Economia, Finanças / Geografia / Sociologia "
Crash: Uma breve história da economia,Alexandre Versignassi,9788595085060,8595085064,2019,352,português,HarperCollins,4.5,"Economia, Finanças / História / História Geral / Literatura Brasileira / Não-ficção / Geografia "
A Caminho da Guerra,Graham Allison,9786555600346,6555600349,2020,416,português,Intrínseca,3.4,"Economia, Finanças / História / Literatura Estrangeira / Política "
A verdade é teimosa,Miriam Leitão,9788551001264,8551001264,2017,383,português,Intrínseca,4.1,"Economia, Finanças / Literatura Brasileira "
Me Poupe!,Nathalia Arcuri,9788543105819,8543105811,2018,176,português,,4.2,"Economia, Finanças / Literatura Brasileira / Educação / Negócios e Empreendedorismo "
Orçamento sem falhas,Nath Finanças,9786555601565,6555601566,2021,128,português,Intrínseca,0,"Economia, Finanças / Literatura Brasileira / Não-ficção "
Uma certa ideia de Brasil,Pedro Malan,9788551003794,8551003798,2018,512,português,Intrínseca,3.3,"Economia, Finanças / Literatura Brasileira / Não-ficção / Política "
Princípios do Estrategista,Felipe Miranda,9786555600810,6555600810,2020,320,português,Intrínseca,4.3,"Economia, Finanças / Literatura Brasileira / Negócios e Empreendedorismo "
O Pior Emprego Do Mundo,Thomas Traumann,9788542214239,8542214234,2018,344,português,,4,"Economia, Finanças / Literatura Brasileira / Política "
Flash Boys,Michael Lewis,9788580575781,8580575788,2014,240,português,Intrínseca,4,"Economia, Finanças / Literatura Estrangeira "
Nunca mais fique sem dinheiro,Jesse Mecham,9788595083844,8595083843,2019,234,português,HarperCollins,3.2,"Economia, Finanças / Literatura Estrangeira "
Princípios,Ray Dalio,9788551003411,8551003410,2018,592,português,Intrínseca,4.4,"Economia, Finanças / Literatura Estrangeira "
A Economia da Paixão,Charles Duhigg,9786555320114,6555320117,2020,304,português,Rocco,0,"Economia, Finanças / Literatura Estrangeira / Não-ficção "
Capital e Ideologia,Thomas Piketty,9788551006153,8551006150,2020,1056,português,Intrínseca,4.5,"Economia, Finanças / Literatura Estrangeira / Não-ficção "
Satisfação Garantida,Tony Hsieh,9788595080270,8595080275,2017,256,português,Harper,4.4,"Economia, Finanças / Literatura Estrangeira / Negócios e Empreendedorismo "
As leis fundamentais da estupidez humana,Carlos M. Cipolla,9788542219081,8542219082,2020,96,português,,4,"Economia, Finanças / Literatura Estrangeira / Política "
Por uma Europa democrática,Stéphanie Hennette,9788551002247,8551002244,2017,96,português,Intrínseca,3.1,"Economia, Finanças / Literatura Estrangeira / Política "
A Psicologia do Dinheiro,Dan Ariely,9788543107325,8543107326,2019,272,português,Sextante,4.1,"Economia, Finanças / Literatura Estrangeira / Psicologia "
Como matar a borboleta-azul,Monica de Bolle,9788551000762,8551000764,2016,272,português,Intrínseca,3.9,"Economia, Finanças / Não-ficção "
A riqueza da vida simples,Gustavo Cerbasi,9788543107455,8543107458,2019,176,português,Sextante,3.9,"Economia, Finanças / Negócios e Empreendedorismo "
Conveniência é o nome do negócio: Descubra como a inovação pode facilitar a jornada dos seus consumidores e multiplicar seus resultados,Arthur Igreja,9788542218213,8542218213,2019,176,português,,4.8,"Economia, Finanças / Negócios e Empreendedorismo "
Misbehaving,Richard H. Thaler,9788551004159,8551004158,2019,448,português,Intrínseca,4.3,"Economia, Finanças / Psicologia "
Put it this way,Chris Tunwell,9788579300257,8579300258,2010,128,português,Universo,4,Educação
Supermemória para Concursos,Alberto Dell'Isola,9788578730574,8578730577,2009,160,português,Universo,3.5,Educação
Um bom professor faz toda a diferença,Taylor Mali,9788575428801,8575428802,2013,128,português,Sextante,3.8,Educação
Universidade das Crianças,Ulrich Janben,9788576650553,857665055X,2009,232,português,Planeta,4,Educação
Como Ajudar as Crianças a Aprenderem,Paul Tough,9788551002124,8551002120,2017,128,português,Intrínseca,3.8,Educação / Ensaios / Literatura Estrangeira / Não-ficção
Startalk,Neil deGrasse Tyson,9788595082106,8595082103,2018,304,português,HarperCollins,3.6,Educação / Fotografia / Literatura Estrangeira / Não-ficção
1001 Livros Para Ler Antes de Morrer,Peter Boxall,9788599296646,8599296647,2010,960,português,Sextante,4.2,Educação / História / Literatura Brasileira / Literatura Estrangeira / Sociologia
Caligrafia para crianças: letra de fôrma,Crystal Radke,9786555640205,6555640200,2020,80,português,,0,Educação / Infantil / Literatura Estrangeira / Não-ficção
Meu caderno de atividades do corpo humano,Katie Stokes,9786555640090,655564009X,2020,64,português,,5,Educação / Infantil / Literatura Estrangeira / Não-ficção
Sou péssimo em Matemática,Rafael Procopio,9780000185747,185744,2019,160,português,HarperCollins,4.2,Educação / Literatura Brasileira
Sou péssimo em matemática,Rafael Procopio,9788595086036,8595086036,2019,160,português,HarperCollins,4.2,Educação / Literatura Brasileira
"Só Pode Ser Brincadeira, Sr. Feynman!",Richard Feynman,9788551004845,8551004840,2019,400,português,Intrínseca,4.4,Educação / Literatura Estrangeira
The New Lifetime Reading Plan,Clifton Fadiman,9780062720733,62720732,1999,378,inglês,HarperCollins,0,Educação / Literatura Estrangeira
Como as Crianças Aprendem,Paul Tough,9788551002117,8551002112,2017,272,português,Intrínseca,3.8,Educação / Literatura Estrangeira / Não-ficção
O cérebro que diz sim,Daniel J. Siegel,9788542217131,8542217136,2019,208,português,,3.9,Educação / Literatura Estrangeira / Não-ficção
O Grande Livro de Ciências do Manual do Mundo,MARI FULFARO,9788543108667,8543108667,2019,528,português,Sextante,4.3,Educação / Não-ficção
Sou Péssimo em Inglês,Carina Fragozo,9788595083684,8595083681,2018,160,português,HarperCollins,4.3,Educação / Não-ficção
"Um mundo, uma escola",Salman Khan,9788580572889,8580572886,2013,223,português,Intrínseca,4.5,Educação / Não-ficção
Já tentei de tudo!,Isabelle Filliozat,9788543101361,8543101360,2014,176,português,Sextante,4.2,Educação / Psicologia / Autoajuda / Literatura Brasileira
Formas Comuns,Gabriel Giorgi,9788532530141,8532530141,2016,243,português,Rocco,5,Ensaios
Reflexos do Sol-Posto,Ivan Junqueira,9788532529107,8532529100,2014,304,português,Rocco,4,Ensaios
"Se uma criança, numa manhã de verão...",Roberto Cotroneo,9788532517289,8532517285,2004,212,português,Rocco,3.8,Ensaios
Sem fraude nem favor,Jurandir Freire Costa,9788532509253,8532509258,2000,224,português,Rocco,4.4,Ensaios
Uma Poética do Romance,Autran Dourado,9788532510235,853251023X,2000,232,português,Rocco,3.8,Ensaios
O Tempo,Clarice Lispector,9788532529527,8532529526,2014,264,português,Rocco,3.6,Ensaios / Contos / Crônicas
História e Utopia,Emil Cioran,9788532504654,8532504655,1994,144,português,Rocco,4.4,Ensaios / Filosofia
Silogismos da Amargura,Emil Cioran,9788532500687,8532500684,2011,112,português,Rocco,4.3,Ensaios / Filosofia
O Profeta,Khalil Gibran,9788572329897,8572329897,2013,136,português,Martin,4.2,Ensaios / Filosofia / Literatura Estrangeira / Religião e Espiritualidade / Romance
Sobre falar merda,Harry G. Frankfurt,9788598078052,8598078050,2005,72,português,Intrínseca,3.7,Ensaios / Filosofia / Não-ficção
Desejo de Status,Alain de Botton,9788532518699,8532518699,2005,304,português,Rocco,4.2,Ensaios / Filosofia / Sociologia
Histórias e Conversas de Mulher,Mary del Priore,9788542201321,8542201329,2013,312,português,Planeta,4.1,Ensaios / História / Sociologia
130 anos: Em busca da República,Alexandre de Moraes,9788551004968,8551004964,2019,256,português,Intrínseca,3.8,Ensaios / História do Brasil / Literatura Brasileira / Não-ficção
Nany People - Ser Mulher Não É Para Qualquer Um,Flavio Queiroz,9788542205398,8542205391,2015,224,português,Planeta,4.3,Ensaios / Literatura Brasileira
A Aventura do Estilo,Henry James,9788532530530,8532530532,2017,272,português,Rocco,4.6,Ensaios / Literatura Estrangeira
A Máquina Performática,Gonzalo Aguilar,9788532530462,853253046X,2017,192,português,Rocco,4.3,Ensaios / Literatura Estrangeira
É possível salvar a Europa?,Thomas Piketty,9788580578522,8580578523,2015,272,português,Intrínseca,3.1,Ensaios / Literatura Estrangeira
